ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr.2, output_port_stalls, port1, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
rtr.2, idle_time, port1, Accumulator, 1244723355, 0, 1241025353, 14681484582497355, 3706, 847, 46707921
rtr.2, width_adj_count, port1, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
rtr.2, send_bit_count, port2, Accumulator, 1244723355, 0, 111808, 62894080, 235, 64, 576
rtr.2, send_packet_count, port2, Accumulator, 1244723355, 0, 235, 235, 235, 1, 1
rtr.2, output_port_stalls, port2, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
rtr.2, idle_time, port2, Accumulator, 1244723355, 0, 1244524310, 1185527507669657664, 195, 1300, 1083767839
rtr.2, width_adj_count, port2, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
rtr.2, xbar_stalls, port0, Accumulator, 1244723355, 0, 14, 14, 14, 1, 1
rtr.2, xbar_stalls, port1, Accumulator, 1244723355, 0, 25, 25, 25, 1, 1
